"ID","Name","coord","link","lon","lat","js"
83,"Fritz-Putz Huette, Sektion Fuessen","47°32‘16“Nord,10°46‘24“Ost","https://www.alpsonline.org/reservation/calendar?hut_id=83",10.7735919,47.5379338,"['Fritz-Putz Huette, Sektion Fuessen',10.7735919,47.5379338],"
85,"Staufner Haus, Sektion Oberstaufen-Lindenberg","47.509660N/10.057730E","https://www.alpsonline.org/reservation/calendar?hut_id=85",10.0689088,47.4916171,"['Staufner Haus, Sektion Oberstaufen-Lindenberg',10.0689088,47.4916171],"
86,"Frassenhuette, Alpenverein Vorarlberg","UTMY(Nord)5.226.593/UTMX(Ost)562.697","https://www.alpsonline.org/reservation/calendar?hut_id=86",9.8274553,47.1897725,"['Frassenhuette, Alpenverein Vorarlberg',9.8274553,47.1897725],"
87,"Karwendelhaus, Sektion Maenner Turnverein Muenchen","472537,112518","https://www.alpsonline.org/reservation/calendar?hut_id=87",11.421597,47.427288,"['Karwendelhaus, Sektion Maenner Turnverein Muenchen',11.421597,47.427288],"
88,"Sarotlahuette, Alpenverein Vorarlberg","UTMY(Nord)5.217.016UTMX(Ost)559.681","https://www.alpsonline.org/reservation/calendar?hut_id=88",9.8209244,47.1563674,"['Sarotlahuette, Alpenverein Vorarlberg',9.8209244,47.1563674],"
89,"Heinrich-Hueter-Huette, Alpenverein Vorarlberg","UTMY(Nord)5.214.228/UTMX(Ost)559.507","https://www.alpsonline.org/reservation/calendar?hut_id=89",9.7837375,47.0785125,"['Heinrich-Hueter-Huette, Alpenverein Vorarlberg',9.7837375,47.0785125],"
90,"Freschenhaus, Alpenverein Vorarlberg","UTMY(Nord)5.238.572/UTMX(Ost)558.801","https://www.alpsonline.org/reservation/calendar?hut_id=90",9.7779141,47.2979775,"['Freschenhaus, Alpenverein Vorarlberg',9.7779141,47.2979775],"
91,"Tilisunahuette, Alpenverein Vorarlberg","UTMY(Nord)5.208.277/UTMX(Ost)566.312","https://www.alpsonline.org/reservation/calendar?hut_id=91",9.8209244,47.1563674,"['Tilisunahuette, Alpenverein Vorarlberg',9.8209244,47.1563674],"
92,"Totalphuette, Alpenverein Vorarlberg","UTMY(Nord)5.211.275/UTMX(Ost)555.220","https://www.alpsonline.org/reservation/calendar?hut_id=92",9.7270525,47.0526433,"['Totalphuette, Alpenverein Vorarlberg',9.7270525,47.0526433],"
93,"Peter-Anich-Huette, Sektion TK Innsbruck","UTMY(Nord)5.236.808/UTMX(Ost)655.466","https://www.alpsonline.org/reservation/calendar?hut_id=93",11.0540938,47.274823,"['Peter-Anich-Huette, Sektion TK Innsbruck',11.0540938,47.274823],"
94,"Klinkehuette, Sektion Admont-Gesaeuse","UTMY(Nord)5.265.240/UTMX(Ost)463.425","https://www.alpsonline.org/reservation/calendar?hut_id=94",14.5137616,47.5393638,"['Klinkehuette, Sektion Admont-Gesaeuse',14.5137616,47.5393638],"
95,"Kaltenberghuette, Sektion Reutlingen","47°7'9<U+2033>N10°8'34<U+2033>E","https://www.alpsonline.org/reservation/calendar?hut_id=95",9.209287,48.493223,"['Kaltenberghuette, Sektion Reutlingen',9.209287,48.493223],"
