start,end,note,sheet
"2025-03-18 19:20:00","2025-03-18 19:45:00","Skoda_Swiss_Bike_Cup_2025_[315977]","RR"
"2025-03-20 09:36:38","2025-03-20 09:37:02","Cyclotour_du_Leman_[330037]","RR"
"2025-03-20 09:37:07","2025-03-20 09:42:47","other","RR"
"2025-03-20 09:42:50","2025-03-20 11:11:43","Cyclotour_du_Leman_[330037]","RR"
"2025-03-20 11:11:46","2025-03-20 13:10:00","Skoda_Swiss_Bike_Cup_2025_[315977]","RR"
"2025-03-20 14:46:27","2025-03-20 15:13:15","other","RR"
"2025-03-20 15:13:20","2025-03-20 15:57:09","Skoda_Swiss_Bike_Cup_2025_[315977]","RR"
"2025-03-21 08:00:00","2025-03-23 23:59:00","Skoda_Swiss_Bike_Cup_2025_[315977] EVENT","RR"
"2025-03-24 15:34:43","2025-03-24 15:43:20","Skoda_Swiss_Bike_Cup_2025_[315977]","RR"
"2025-03-24 16:16:28","2025-03-24 16:27:54","Skoda_Swiss_Bike_Cup_2025_[315977]","RR"
"2025-03-24 16:28:00","2025-03-24 17:30:13","44._GP_Osterhas_2025_[316629]","RR"
"2025-03-24 17:52:40","2025-03-24 19:35:51","44._GP_Osterhas_2025_[316629]","RR"
"2025-03-24 21:56:19","2025-03-24 22:01:06","44._GP_Osterhas_2025_[316629]","RR"
"2025-03-24 22:01:10","2025-03-24 23:42:45","Cyclotour_du_Leman_[330037]","RR"
"2025-03-25 09:30:00","2025-03-25 14:30:54","Maintenance","RR"
"2025-03-25 14:31:18","2025-03-25 19:45:00","OFFA_[332779]","RR"
"2025-03-26 11:04:20","2025-03-26 11:07:44","OFFA_[332779]","RR"
"2025-03-26 11:08:06","2025-03-26 11:14:31","16.Bischofszeller_Staedtlilauf_[315717]","RR"
"2025-03-26 11:14:36","2025-03-26 11:45:00","44._GP_Osterhas_2025_[316629]","RR"
"2025-03-26 11:45:00","2025-03-26 12:08:24","Cyclotour_du_Leman_[330037]","RR"
"2025-03-26 12:08:27","2025-03-26 12:16:18","OFFA_[332779]","RR"
"2025-03-26 13:06:08","2025-03-26 13:31:10","OFFA_[332779]","RR"
"2025-03-26 14:03:26","2025-03-26 14:35:19","OFFA_[332779]","RR"
"2025-03-26 14:47:00","2025-03-26 15:39:18","OFFA_[332779]","RR"
"2025-03-26 16:18:05","2025-03-26 17:13:39","OFFA_[332779]","RR"
"2025-03-26 17:15:22","2025-03-26 17:27:10","Cyclotour_du_Leman_[330037]","RR"
"2025-03-26 17:27:13","2025-03-26 18:01:07","OFFA_[332779]","RR"
"2025-03-27 08:35:00","2025-03-27 08:58:50","other","RR"
"2025-03-27 08:58:52","2025-03-27 10:05:13","LED","RR"
"2025-03-27 10:59:17","2025-03-27 12:01:14","Bike_Marathon_Lumnezia_[333111]","RR"
"2025-03-27 12:46:10","2025-03-27 14:56:50","OCHSNER_SPORT_Zürich_Marathon_2025_[322778]","RR"
"2025-03-28 08:50:00","2025-03-28 09:15:34","LED","RR"
"2025-03-28 09:15:40","2025-03-28 09:37:09","Cyclotour_du_Leman_[330037]","RR"
"2025-03-28 09:37:11","2025-03-28 10:31:44","OFFA_[332779]","RR"
"2025-03-28 10:32:10","2025-03-28 12:11:56","OCHSNER_SPORT_Zürich_Marathon_2025_[322778]","RR"
"2025-03-28 12:55:22","2025-03-28 13:44:40","OCHSNER_SPORT_Zürich_Marathon_2025_[322778]","RR"
"2025-03-28 14:35:49","2025-03-28 15:54:25","OCHSNER_SPORT_Zürich_Marathon_2025_[322778]","RR"
"2025-03-30 10:25:00","2025-03-30 12:02:05","OCHSNER_SPORT_Zürich_Marathon_2025_[322778]","RR"
"2025-03-31 08:00:00","2025-03-31 09:58:27","OCHSNER_SPORT_Zürich_Marathon_2025_[322778]","RR"
"2025-03-31 10:10:00","2025-03-31 10:41:54","OCHSNER_SPORT_Zürich_Marathon_2025_[322778]","RR"
"2025-03-31 10:41:00","2025-03-31 11:16:58","Bike_Marathon_Lumnezia_[333111]_Berglauf_Staviala_Vedra_[333123]","RR"
"2025-03-31 12:55:56","2025-03-31 14:48:09","Bike_Marathon_Lumnezia_[333111]_Berglauf_Staviala_Vedra_[333123]","RR"
"2025-03-31 15:05:00","2025-03-31 15:21:34","Bike_Marathon_Lumnezia_[333111]_Berglauf_Staviala_Vedra_[333123]","RR"
